ano,estado,familia,nota,falsificacoes
1995,parana,cedulas 1a familia,50,237
1995,rio de janeiro,cedulas 1a familia,50,3
1995,rio de janeiro,cedulas 1a familia,100,1
1995,sao paulo,cedulas 1a familia,100,1
1996,distrito federal,cedulas 1a familia,50,1
1996,distrito federal,cedulas 1a familia,100,1
1996,minas gerais,cedulas 1a familia,50,4
1996,minas gerais,cedulas 1a familia,100,1
1996,parana,cedulas 1a familia,50,4
1996,parana,cedulas 1a familia,100,12
1996,pernambuco,cedulas 1a familia,50,2
1996,pernambuco,cedulas 1a familia,100,1
1996,rio de janeiro,cedulas 1a familia,5,2
1996,rio de janeiro,cedulas 1a familia,10,6087
1996,rio de janeiro,cedulas 1a familia,50,7988
1996,rio de janeiro,cedulas 1a familia,100,2311
1996,rio grande do sul,cedulas 1a familia,10,1
1996,rio grande do sul,cedulas 1a familia,50,2
1996,rio grande do sul,cedulas 1a familia,100,2
1996,rondonia,cedulas 1a familia,100,2
1997,amapa,cedulas 1a familia,100,1
1997,bahia,cedulas 1a familia,5,2
1997,bahia,cedulas 1a familia,10,49
1997,bahia,cedulas 1a familia,50,14
1997,bahia,cedulas 1a familia,100,27
1997,ceara,cedulas 1a familia,10,20
1997,ceara,cedulas 1a familia,50,28
1997,ceara,cedulas 1a familia,100,1
1997,distrito federal,cedulas 1a familia,10,19
1997,distrito federal,cedulas 1a familia,50,22
1997,distrito federal,cedulas 1a familia,100,12
1997,goias,cedulas 1a familia,10,4
1997,goias,cedulas 1a familia,50,1
1997,mato grosso do sul,cedulas 1a familia,50,8
1997,minas gerais,cedulas 1a familia,50,35
1997,minas gerais,cedulas 1a familia,100,58
1997,parana,cedulas 1a familia,50,4
1997,parana,cedulas 1a familia,100,1
1997,pernambuco,cedulas 1a familia,50,8
1997,pernambuco,cedulas 1a familia,100,4
1997,rio de janeiro,cedulas 1a familia,5,180
1997,rio de janeiro,cedulas 1a familia,10,16
1997,rio de janeiro,cedulas 1a familia,50,33
1997,rio de janeiro,cedulas 1a familia,100,73
1997,rio grande do sul,cedulas 1a familia,100,1
1997,rondonia,cedulas 1a familia,100,1
1997,sao paulo,cedulas 1a familia,50,1
1997,tocantins,cedulas 1a familia,100,1
1998,amapa,cedulas 1a familia,50,79
1998,amazonas,cedulas 1a familia,5,13
1998,amazonas,cedulas 1a familia,10,1
1998,amazonas,cedulas 1a familia,50,364
1998,amazonas,cedulas 1a familia,100,3
1998,ceara,cedulas 1a familia,5,5
1998,ceara,cedulas 1a familia,10,26
1998,ceara,cedulas 1a familia,50,69
1998,ceara,cedulas 1a familia,100,49
1998,distrito federal,cedulas 1a familia,100,1
1998,espirito santo,cedulas 1a familia,10,918
1998,espirito santo,cedulas 1a familia,50,55
1998,goias,cedulas 1a familia,10,83
1998,goias,cedulas 1a familia,100,1
1998,mato grosso,cedulas 1a familia,10,1
1998,mato grosso,cedulas 1a familia,50,6
1998,minas gerais,cedulas 1a familia,10,42
1998,minas gerais,cedulas 1a familia,50,22
1998,minas gerais,cedulas 1a familia,100,7
1998,para,cedulas 1a familia,50,1
1998,parana,cedulas 1a familia,10,475
1998,parana,cedulas 1a familia,50,338
1998,parana,cedulas 1a familia,100,3
1998,pernambuco,cedulas 1a familia,10,689
1998,pernambuco,cedulas 1a familia,50,3
1998,pernambuco,cedulas 1a familia,100,1
1998,piaui,cedulas 1a familia,50,6
1998,piaui,cedulas 1a familia,100,1
1998,rio de janeiro,cedulas 1a familia,5,13
1998,rio de janeiro,cedulas 1a familia,10,223
1998,rio de janeiro,cedulas 1a familia,50,220
1998,rio de janeiro,cedulas 1a familia,100,627
1998,rio grande do norte,cedulas 1a familia,10,3
1998,rio grande do sul,cedulas 1a familia,50,3
1998,rio grande do sul,cedulas 1a familia,100,3
1998,rondonia,cedulas 1a familia,50,6
1998,rondonia,cedulas 1a familia,100,4
1998,santa catarina,cedulas 1a familia,5,32
1998,santa catarina,cedulas 1a familia,10,1016
1998,santa catarina,cedulas 1a familia,50,791
1998,santa catarina,cedulas 1a familia,100,347
1998,sao paulo,cedulas 1a familia,5,9
1998,sao paulo,cedulas 1a familia,10,35
1998,sao paulo,cedulas 1a familia,50,207
1998,sao paulo,cedulas 1a familia,100,56
1998,tocantins,cedulas 1a familia,50,11
1998,tocantins,cedulas 1a familia,100,6
1999,acre,cedulas 1a familia,10,10
1999,acre,cedulas 1a familia,50,49
1999,acre,cedulas 1a familia,100,2
1999,alagoas,cedulas 1a familia,5,11
1999,alagoas,cedulas 1a familia,10,67
1999,alagoas,cedulas 1a familia,50,105
1999,alagoas,cedulas 1a familia,100,3
1999,amapa,cedulas 1a familia,10,46
1999,amapa,cedulas 1a familia,50,5
1999,amazonas,cedulas 1a familia,5,5
1999,amazonas,cedulas 1a familia,10,41
1999,amazonas,cedulas 1a familia,50,136
1999,amazonas,cedulas 1a familia,100,121
1999,bahia,cedulas 1a familia,5,83
1999,bahia,cedulas 1a familia,10,570
1999,bahia,cedulas 1a familia,50,164
1999,bahia,cedulas 1a familia,100,8
1999,ceara,cedulas 1a familia,5,45
1999,ceara,cedulas 1a familia,10,90
1999,ceara,cedulas 1a familia,50,136
1999,ceara,cedulas 1a familia,100,9
1999,distrito federal,cedulas 1a familia,5,68
1999,distrito federal,cedulas 1a familia,10,113
1999,distrito federal,cedulas 1a familia,50,4505
1999,distrito federal,cedulas 1a familia,100,827
1999,espirito santo,cedulas 1a familia,5,18
1999,espirito santo,cedulas 1a familia,10,252
1999,espirito santo,cedulas 1a familia,50,582
1999,espirito santo,cedulas 1a familia,100,9
1999,goias,cedulas 1a familia,5,59
1999,goias,cedulas 1a familia,10,549
1999,goias,cedulas 1a familia,50,212
1999,goias,cedulas 1a familia,100,11
1999,maranhao,cedulas 1a familia,5,4
1999,maranhao,cedulas 1a familia,10,63
1999,maranhao,cedulas 1a familia,50,69
1999,maranhao,cedulas 1a familia,100,1
1999,mato grosso,cedulas 1a familia,5,4
1999,mato grosso,cedulas 1a familia,10,94
1999,mato grosso,cedulas 1a familia,50,126
1999,mato grosso,cedulas 1a familia,100,13
1999,mato grosso do sul,cedulas 1a familia,5,2
1999,mato grosso do sul,cedulas 1a familia,10,501
1999,mato grosso do sul,cedulas 1a familia,50,1014
1999,mato grosso do sul,cedulas 1a familia,100,33
1999,minas gerais,cedulas 1a familia,1,11
1999,minas gerais,cedulas 1a familia,5,79
1999,minas gerais,cedulas 1a familia,10,800
1999,minas gerais,cedulas 1a familia,50,740
1999,minas gerais,cedulas 1a familia,100,30
1999,para,cedulas 1a familia,5,1
1999,para,cedulas 1a familia,10,103
1999,para,cedulas 1a familia,50,85
1999,para,cedulas 1a familia,100,8
1999,paraiba,cedulas 1a familia,5,14
1999,paraiba,cedulas 1a familia,10,16
1999,paraiba,cedulas 1a familia,50,49
1999,paraiba,cedulas 1a familia,100,1
1999,parana,cedulas 1a familia,5,41
1999,parana,cedulas 1a familia,10,225
1999,parana,cedulas 1a familia,50,444
1999,parana,cedulas 1a familia,100,74
1999,pernambuco,cedulas 1a familia,1,4
1999,pernambuco,cedulas 1a familia,5,34
1999,pernambuco,cedulas 1a familia,10,328
1999,pernambuco,cedulas 1a familia,50,85
1999,pernambuco,cedulas 1a familia,100,7
1999,piaui,cedulas 1a familia,5,4
1999,piaui,cedulas 1a familia,10,60
1999,piaui,cedulas 1a familia,50,37
1999,piaui,cedulas 1a familia,100,1
