ano,estado,familia,nota,falsificacoes
2021,acre,cedulas 1a familia,10,1
2021,acre,cedulas 2a familia,10,1
2021,acre,cedulas 2a familia,20,12
2021,acre,cedulas 1a familia,50,2
2021,acre,cedulas 2a familia,50,18
2021,acre,cedulas 2a familia,100,56
2021,alagoas,cedulas 2a familia,2,6
2021,alagoas,cedulas 1a familia,5,16
2021,alagoas,cedulas 2a familia,5,57
2021,alagoas,cedulas 1a familia,10,29
2021,alagoas,cedulas 2a familia,10,82
2021,alagoas,cedulas 1a familia,20,3
2021,alagoas,cedulas 2a familia,20,143
2021,alagoas,cedulas 1a familia,50,49
2021,alagoas,cedulas 2a familia,50,131
2021,alagoas,cedulas 1a familia,100,28
2021,alagoas,cedulas 2a familia,100,726
2021,alagoas,cedulas 2a familia,200,362
2021,amapa,cedulas 1a familia,2,1
2021,amapa,cedulas 2a familia,5,1
2021,amapa,cedulas 2a familia,10,2
2021,amapa,cedulas 2a familia,20,20
2021,amapa,cedulas 1a familia,50,1
2021,amapa,cedulas 2a familia,50,28
2021,amapa,cedulas 2a familia,100,81
2021,amapa,cedulas 2a familia,200,8
2021,amazonas,cedulas 2a familia,5,1
2021,amazonas,cedulas 1a familia,10,8
2021,amazonas,cedulas 2a familia,10,48
2021,amazonas,cedulas 1a familia,20,1
2021,amazonas,cedulas 2a familia,20,261
2021,amazonas,cedulas 1a familia,50,11
2021,amazonas,cedulas 2a familia,50,244
2021,amazonas,cedulas 1a familia,100,15
2021,amazonas,cedulas 2a familia,100,640
2021,amazonas,cedulas 2a familia,200,39
2021,bahia,cedulas 1a familia,2,2
2021,bahia,cedulas 2a familia,2,14
2021,bahia,cedulas 1a familia,5,10
2021,bahia,cedulas 2a familia,5,61
2021,bahia,cedulas 1a familia,10,41
2021,bahia,cedulas 2a familia,10,281
2021,bahia,cedulas 1a familia,20,6
2021,bahia,cedulas 2a familia,20,1.257
2021,bahia,cedulas 1a familia,50,151
2021,bahia,cedulas 2a familia,50,969
2021,bahia,cedulas 1a familia,100,138
2021,bahia,cedulas 2a familia,100,4.168
2021,bahia,cedulas 2a familia,200,1.578
2021,ceara,cedulas 1a familia,2,1
2021,ceara,cedulas 2a familia,2,4
2021,ceara,cedulas 1a familia,5,642
2021,ceara,cedulas 2a familia,5,50
2021,ceara,cedulas 1a familia,10,358
2021,ceara,cedulas 2a familia,10,126
2021,ceara,cedulas 1a familia,20,15
2021,ceara,cedulas 2a familia,20,416
2021,ceara,cedulas 1a familia,50,175
2021,ceara,cedulas 2a familia,50,921
2021,ceara,cedulas 1a familia,100,58
2021,ceara,cedulas 2a familia,100,1.770
2021,ceara,cedulas 2a familia,200,299
2021,distrito federal,cedulas 1a familia,2,4
2021,distrito federal,cedulas 2a familia,2,4
2021,distrito federal,cedulas 1a familia,5,24
2021,distrito federal,cedulas 2a familia,5,93
2021,distrito federal,cedulas 1a familia,10,34
2021,distrito federal,cedulas 2a familia,10,467
2021,distrito federal,cedulas 1a familia,20,5
2021,distrito federal,cedulas 2a familia,20,1.457
2021,distrito federal,cedulas 1a familia,50,108
2021,distrito federal,cedulas 2a familia,50,1.542
2021,distrito federal,cedulas 1a familia,100,66
2021,distrito federal,cedulas 2a familia,100,3.102
2021,distrito federal,cedulas 2a familia,200,1.749
2021,espirito santo,cedulas 1a familia,2,1
2021,espirito santo,cedulas 2a familia,2,11
2021,espirito santo,cedulas 1a familia,5,15
2021,espirito santo,cedulas 2a familia,5,30
2021,espirito santo,cedulas 1a familia,10,26
2021,espirito santo,cedulas 2a familia,10,155
2021,espirito santo,cedulas 2a familia,20,1.118
2021,espirito santo,cedulas 1a familia,50,95
2021,espirito santo,cedulas 2a familia,50,1.191
2021,espirito santo,cedulas 1a familia,100,39
2021,espirito santo,cedulas 2a familia,100,2.631
2021,espirito santo,cedulas 2a familia,200,269
2021,goias,cedulas 1a familia,2,2
2021,goias,cedulas 2a familia,2,19
2021,goias,cedulas 1a familia,5,30
2021,goias,cedulas 2a familia,5,349
2021,goias,cedulas 1a familia,10,51
2021,goias,cedulas 2a familia,10,194
2021,goias,cedulas 1a familia,20,7
2021,goias,cedulas 2a familia,20,2.212
